Hash: DE04F8F3, Key: Line6.B539D, Value: Shake on it.
Hash: D3AE4DA6, Key: VoiceDir367.B2A59, Value: Accepting goods from the player. Agreement.
Hash: 4E1CD3D3, Key: Line370.B2A59, Value: A fine deal.
Hash: A5187940, Key: VoiceDir370.B2A59, Value: Accepting goods from the player. Agreement.
Hash: 350B8A16, Key: Line373.B2A59, Value: Bless and thank you.
Hash: 8C072F83, Key: VoiceDir373.B2A59, Value: Accepting goods from the player. Agreement.
Hash: B5EEBA18, Key: Line378.B2A74, Value: Very good, thank you.
Hash: 0CEA5F85, Key: VoiceDir378.B2A74, Value: Accepting goods from the player. Agreement.
Hash: 8758E5B2, Key: Line381.B2A74, Value: A fine deal.
Hash: DE548B1F, Key: VoiceDir381.B2A74, Value: Accepting goods from the player. Agreement.
Hash: 6E479BF5, Key: Line384.B2A74, Value: Bless and thank you.
Hash: C5434162, Key: VoiceDir384.B2A74, Value: Accepting goods from the player. Agreement.
Hash: EF2ACBA9, Key: Line389.B2A5E, Value: Here's your coin.
Hash: 46267116, Key: VoiceDir389.B2A5E, Value: Accepting goods from the player. Agreement.
Hash: C094F743, Key: Line392.B2A5E, Value: It's a deal.
Hash: 17909CB0, Key: VoiceDir392.B2A5E, Value: Accepting goods from the player. Agreement.
Hash: A783AD86, Key: Line395.B2A5E, Value: Alright, I'll take it.
Hash: FE7F52F3, Key: VoiceDir395.B2A5E, Value: Accepting goods from the player. Agreement.
Hash: 4CCC72E7, Key: Line400.B2A71, Value: Here's your coin.
Hash: A3C81854, Key: VoiceDir400.B2A71, Value: Accepting goods from the player. Agreement.
Hash: 33BB292A, Key: Line403.B2A71, Value: It's a deal.
Hash: 8AB6CE97, Key: VoiceDir403.B2A71, Value: Accepting goods from the player. Agreement.
Hash: 1AA9DF6D, Key: Line406.B2A71, Value: Alright, I'll take it.
Hash: 71A584DA, Key: VoiceDir406.B2A71, Value: Accepting goods from the player. Agreement.
Hash: 8622A309, Key: Line411.BC422, Value: I suppose I can take that off your hands.
Hash: 6D11594C, Key: Line414.BC422, Value: I'll give you a fair price for it.
Hash: 54000F8F, Key: Line417.BC422, Value: A fine addition to my inventory.
Hash: BF7CE5E9, Key: Line422.E7618, Value: I suppose I can take that off your hands.
Hash: A66B9C2C, Key: Line425.E7618, Value: I'll give you a fair price for it.
Hash: 8D5A526F, Key: Line428.E7618, Value: A fine addition to my inventory.
Hash: F89AC64E, Key: Line433.BC423, Value: Well I would like that.
Hash: DF897C91, Key: Line436.BC423, Value: Always smart to buy surprise inventory.
Hash: C67832D4, Key: Line439.BC423, Value: Unusual, but a good addition to my wares.
Hash: 31F50959, Key: Line444.E761D, Value: Well I would like that.
Hash: 18E3BF9C, Key: Line447.E761D, Value: Always smart to buy surprise inventory.
Hash: EA4DEB36, Key: Line450.E761D, Value: Unusual, but a good addition to my wares.
Hash: 6B12E997, Key: Line455.BC428, Value: I can certainly take that.
Hash: 52019FDA, Key: Line458.BC428, Value: I'll find a use for it.
Hash: 236BCB74, Key: Line461.BC428, Value: How marvelous.
Hash: A46D2C9C, Key: Line466.E761C, Value: I can certainly take that.
Hash: 8B5BE2DF, Key: Line469.E761C, Value: I'll find a use for it.
Hash: 5CC60E79, Key: Line472.E761C, Value: How marvelous.
Hash: 5003302C, Key: Line499.BC41F, Value: You don't want that?
Hash: 5B577BFD, Key: Line502.BC41F, Value: Yes, yes, I'll take it.
Hash: 42463240, Key: Line505.BC41F, Value: All things have value, I suppose.
Hash: ADC308B0, Key: Line510.E761A, Value: You don't want that?
Hash: 94B1BEF3, Key: Line513.E761A, Value: Yes, yes, I'll take it.
Hash: 7BA07536, Key: Line516.E761A, Value: All things have value, I suppose.
Hash: E6E0E90B, Key: Line521.BC431, Value: If you're sure.
Hash: CDCF9F4E, Key: Line524.BC431, Value: I'll give good coin for that.
Hash: B4BE5591, Key: Line527.BC431, Value: Count the coin to be sure.
Hash: 203B2BCA, Key: Line532.E7617, Value: If you're sure.
Hash: 0729E20D, Key: Line535.E7617, Value: I'll give good coin for that.
Hash: EE189850, Key: Line538.E7617, Value: Count the coin to be sure.
Hash: 5941804A, Key: Line543.B8617, Value: Don't mind if I do.
Hash: B03D25B7, Key: VoiceDir543.B8617, Value: Educated, superior.
Hash: 4030368D, Key: Line546.B8617, Value: If you're sure.
Hash: 972BDBFA, Key: VoiceDir546.B8617, Value: Educated, superior.
Hash: 271EECD0, Key: Line549.B8617, Value: A satisfactory bargain.
Hash: 7E1A923D, Key: VoiceDir549.B8617, Value: Educated, superior.
Hash: 927D91ED, Key: Line554.B8618, Value: Don't mind if I do.
Hash: E979375A, Key: VoiceDir554.B8618, Value: Educated, superior.
Hash: 796C4830, Key: Line557.B8618, Value: If you're sure.
Hash: D067ED9D, Key: VoiceDir557.B8618, Value: Educated, superior.
Hash: 4AD673CA, Key: Line560.B8618, Value: A satisfactory bargain.
Hash: A1D21937, Key: VoiceDir560.B8618, Value: Educated, superior.
Hash: 3E31C6FF, Key: Line587.B861D, Value: This suits me well.
Hash: 952D6C6C, Key: VoiceDir587.B861D, Value: Grounded, direct.
Hash: 0F9BF299, Key: Line590.B861D, Value: I'll take it.
Hash: 66979806, Key: VoiceDir590.B861D, Value: Grounded. Direct.
Hash: F68AA8DC, Key: Line593.B861D, Value: A sure deal.
Hash: 776DD8A2, Key: Line598.B861E, Value: This suits me well.
Hash: CE697E0F, Key: VoiceDir598.B861E, Value: Grounded, direct.
Hash: 82C22473, Key: Line601.B861E, Value: I'll take it.
Hash: D9BDC9E0, Key: VoiceDir601.B861E, Value: Grounded. Direct.
Hash: 69B0DAB6, Key: Line604.B861E, Value: A sure deal.
Hash: EA9331CA, Key: Line609.B5F3E, Value: Sure, why not?
Hash: 418ED737, Key: VoiceDir609.B5F3E, Value: Calm, gruff.
Hash: BBFD5D64, Key: Line612.B5F3E, Value: Seems fair to me.
Hash: 12F902D1, Key: VoiceDir612.B5F3E, Value: Calm, gruff.
Hash: A2EC13A7, Key: Line615.B5F3E, Value: Let me take a look at that.
Hash: F9E7B914, Key: VoiceDir615.B5F3E, Value: Calm, gruff.
Hash: 0E4AB8C4, Key: Line620.B5F3F, Value: Sure, why not?
Hash: 65465E31, Key: VoiceDir620.B5F3F, Value: Calm, gruff.
Hash: F5396F07, Key: Line623.B5F3F, Value: Seems fair to me.
Hash: 4C351474, Key: VoiceDir623.B5F3F, Value: Calm, gruff.
Hash: DC28254A, Key: Line626.B5F3F, Value: Let me take a look at that.
Hash: 3323CAB7, Key: VoiceDir626.B5F3F, Value: Calm, gruff.
Hash: 47872975, Key: Line631.B79A2, Value: Fair price.
Hash: 9E82CEE2, Key: VoiceDir631.B79A2, Value: Dim, twitchy, paranoid.
Hash: 2E75DFB8, Key: Line634.B79A2, Value: Sure, I'll have it.
Hash: 85718525, Key: VoiceDir634.B79A2, Value: Dim, twitchy, paranoid.
Hash: 156495FB, Key: Line637.B79A2, Value: Much obliged.
Hash: 6C603B68, Key: VoiceDir637.B79A2, Value: Dim, twitchy, paranoid.
Hash: 80C33B18, Key: Line642.B79A3, Value: Fair price.
Hash: D7BEE085, Key: VoiceDir642.B79A3, Value: Dim, twitchy, paranoid.
Hash: 67B1F15B, Key: Line645.B79A3, Value: Sure, I'll have it.
Hash: BEAD96C8, Key: VoiceDir645.B79A3, Value: Dim, twitchy, paranoid.
Hash: 4EA0A79E, Key: Line648.B79A3, Value: Much obliged.
Hash: A59C4D0B, Key: VoiceDir648.B79A3, Value: Dim, twitchy, paranoid.
Hash: B9FF4CBD, Key: Line653.B79A6, Value: That's a deal.
Hash: 10FAF22A, Key: VoiceDir653.B79A6, Value: Savvy. Cynical. Confident.
Hash: A0EE0300, Key: Line656.B79A6, Value: I'll shake on that.
Hash: F7E9A86D, Key: VoiceDir656.B79A6, Value: Savvy. Cynical. Confident.
Hash: 87DCB943, Key: Line659.B79A6, Value: Yep, give it over.
Hash: DED85EB0, Key: VoiceDir659.B79A6, Value: Savvy. Cynical. Confident.
Hash: F33B5E60, Key: Line664.B79A7, Value: That's a deal.
Hash: 4A3703CD, Key: VoiceDir664.B79A7, Value: Savvy. Cynical. Confident.
Hash: DA2A14A3, Key: Line667.B79A7, Value: I'll shake on that.
Hash: 3125BA10, Key: VoiceDir667.B79A7, Value: Savvy. Cynical. Confident.
Hash: AB94403D, Key: Line670.B79A7, Value: Yep, give it over.
Hash: 028FE5AA, Key: VoiceDir670.B79A7, Value: Savvy. Cynical. Confident.
Hash: 78214BC7, Key: Line706.B79AA, Value: Fair play.
Hash: CF1CF134, Key: VoiceDir706.B79AA, Value: Apathetic, direct, business-minded.
Hash: 5F10020A, Key: Line709.B79AA, Value: Good enough for me.
Hash: B60BA777, Key: VoiceDir709.B79AA, Value: Apathetic, direct, business-minded.
Hash: 307A2DA4, Key: Line712.B79AA, Value: That's worth a coin or two.
Hash: 8775D311, Key: VoiceDir712.B79AA, Value: Apathetic, direct, business-minded.
Hash: B15D5D6A, Key: Line717.B79AB, Value: Fair play.
Hash: 085902D7, Key: VoiceDir717.B79AB, Value: Apathetic, direct, business-minded.
Hash: 82C78904, Key: Line720.B79AB, Value: Good enough for me.
Hash: D9C32E71, Key: VoiceDir720.B79AB, Value: Apathetic, direct, business-minded.
Hash: 69B63F47, Key: Line723.B79AB, Value: That's worth a coin or two.
Hash: C0B1E4B4, Key: VoiceDir723.B79AB, Value: Apathetic, direct, business-minded.
